Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
3.25918,0.388901,0.0480332,-9.5129,3.78881e-05,-0.00225614,0.00154145,-4.21005e-05,3.21006e-05,1.32196e-05,0.327877,0.944488,0.00884361,-0.0190067,179.757,357.61,141.716,0,0,0,0,
3.28884,0.393702,0.038884,-9.5035,0.000567889,0.000422709,-0.00159763,-4.21659e-05,3.2323e-05,1.29508e-05,0.327729,0.94454,0.00884857,-0.0189829,179.755,357.612,141.734,0,0,0,0,
3.32025,0.391301,0.0503205,-9.49176,4.57633e-05,-0.000175858,0.000492763,-4.21943e-05,3.32355e-05,1.33946e-05,0.327835,0.944502,0.0088832,-0.0189888,179.752,357.61,141.722,0,0,0,0,
3.34667,0.393702,0.0411713,-9.50585,5.60973e-05,-0.000179999,-6.25029e-05,-4.19728e-05,3.27898e-05,1.28189e-05,0.327901,0.94448,0.00887821,-0.0189848,179.752,357.611,141.714,0,0,0,0,
3.37461,0.376897,0.0571824,-9.48236,-0.000490891,-0.00121001,0.000954032,-4.26102e-05,3.30141e-05,1.24375e-05,0.327895,0.944482,0.00889042,-0.0189556,179.75,357.614,141.714,0,0,0,0,
3.40544,0.400904,0.0297348,-9.52465,-0.000505099,-0.00067951,0.000936463,-4.30703e-05,3.30246e-05,1.22831e-05,0.327716,0.944545,0.00887859,-0.0189472,179.75,357.615,141.736,0,0,0,0,
3.43171,0.400904,0.0297348,-9.49646,0.000532506,0.000910714,0.000397611,-4.30456e-05,3.29103e-05,1.25929e-05,0.327576,0.944593,0.00888108,-0.0189571,179.75,357.614,141.753,0,0,0,0,
3.4613,0.384099,0.0411713,-9.51055,-0.000519227,-0.000649456,0.000926085,-4.26589e-05,3.31765e-05,1.28728e-05,0.32753,0.944609,0.00886911,-0.0189401,179.751,357.616,141.759,0,0,0,0,
3.49065,0.388901,0.0411713,-9.5129,-0.000507019,0.000382507,0.000375215,-4.2802e-05,3.27384e-05,1.22258e-05,0.32743,0.944644,0.0088812,-0.0189394,179.749,357.616,141.771,0,0,0,0,
3.51688,0.3865,0.0503205,-9.48236,-0.000495393,-0.000649258,-0.000693746,-4.23479e-05,3.24773e-05,1.2813e-05,0.327318,0.944683,0.00888792,-0.0189095,179.747,357.619,141.784,0,0,0,0,
3.54661,0.393702,0.0526078,-9.5129,3.4431e-05,0.000385685,0.000344038,-4.20443e-05,3.26795e-05,1.29889e-05,0.327221,0.944717,0.00888495,-0.0189049,179.747,357.62,141.796,0,0,0,0,
3.57372,0.384099,0.038884,-9.49411,3.27919e-05,-0.000658747,0.000340171,-4.18676e-05,3.24377e-05,1.3054e-05,0.327225,0.944716,0.00887878,-0.0188901,179.747,357.621,141.796,0,0,0,0,
3.59837,0.403304,0.0434586,-9.5035,-0.00100735,-0.000627382,-0.000195313,-4.20169e-05,3.25388e-05,1.28447e-05,0.327224,0.944716,0.00888489,-0.0188868,179.746,357.622,141.796,0,0,0,0,
3.62492,0.408106,0.0411713,-9.5223,9.17055e-05,0.000416044,-0.000717819,-4.18279e-05,3.31401e-05,1.32162e-05,0.327382,0.944661,0.00890859,-0.0188966,179.744,357.62,141.777,0,0,0,0,
3.65458,0.393702,0.0503205,-9.51055,0.000628948,-0.000144815,-0.00171826,-4.20479e-05,3.32891e-05,1.25212e-05,0.327647,0.944569,0.00892496,-0.0189037,179.743,357.618,141.745,0,0,0,0,
3.6808,0.381699,0.0274475,-9.48236,-0.000402041,0.000393884,0.000909951,-4.267e-05,3.28065e-05,1.22424e-05,0.327612,0.944581,0.00891571,-0.0188941,179.744,357.619,141.749,0,0,0,0,
3.70693,0.403304,0.0251603,-9.49176,-0.000889676,-0.000131648,-0.000146929,-4.25094e-05,3.33056e-05,1.28248e-05,0.32765,0.944568,0.00891447,-0.0188972,179.744,357.619,141.744,0,0,0,0,
3.73271,0.374497,0.0548951,-9.5035,0.000166239,-0.000150405,-0.00068425,-4.21607e-05,3.28403e-05,1.31964e-05,0.327687,0.944556,0.00891041,-0.0188748,179.744,357.622,141.74,0,0,0,0,
3.76125,0.398503,0.0182984,-9.52465,0.000167022,-0.000114767,0.000897177,-4.24736e-05,3.32259e-05,1.28414e-05,0.327804,0.944516,0.00889288,-0.0188522,179.745,357.625,141.726,0,0,0,0,
3.78893,0.376897,0.0457459,-9.5082,-0.000879513,-0.000109302,-0.000159096,-4.26591e-05,3.3041e-05,1.31977e-05,0.32779,0.944521,0.00889457,-0.0188366,179.745,357.626,141.727,0,0,0,0,
3.81478,0.3865,0.0365967,-9.51055,0.000707721,0.000440218,0.000849519,-4.27766e-05,3.31844e-05,1.31806e-05,0.327787,0.944522,0.00890055,-0.0188231,179.743,357.628,141.728,0,0,0,0,
3.84105,0.398503,0.038884,-9.5129,0.00121834,0.00093855,-0.000229511,-4.28472e-05,3.3278e-05,1.34171e-05,0.327786,0.944522,0.00890034,-0.0188239,179.744,357.628,141.728,0,0,0,0,
