Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
2.7171,0.240062,0.180696,-9.48471,0.00358559,-0.00257654,-0.000574965,-2.3035e-05,-8.25863e-06,2.04575e-05,0.166802,-0.985885,-0.00680701,0.0126765,178.988,358.698,199.217,0,0,0,0,
2.74967,0.223258,0.157823,-9.44947,-0.000548558,-0.00152862,-0.00050997,-2.31419e-05,-7.6649e-06,2.06237e-05,0.166313,-0.985968,-0.00685605,0.0126416,178.984,358.702,199.161,0,0,0,0,
2.77913,0.23286,0.160111,-9.51055,-0.00157353,8.95169e-05,-0.000473175,-2.31928e-05,-7.70604e-06,2.04367e-05,0.165911,-0.986036,-0.00685126,0.0126601,178.985,358.7,199.114,0,0,0,0,
2.81008,0.223258,0.180696,-9.49881,-0.000535335,-0.00143743,-0.000501748,-2.29888e-05,-8.63589e-06,2.05197e-05,0.166248,-0.985979,-0.00681215,0.0126793,178.988,358.697,199.153,0,0,0,0,
2.83819,0.228059,0.173834,-9.49881,0.0015548,0.000151338,-0.000972126,-2.31031e-05,-9.11438e-06,2.08579e-05,0.16686,-0.985875,-0.00680579,0.0126954,178.988,358.696,199.224,0,0,0,0,
2.8692,0.216056,0.160111,-9.51525,-0.000471512,-0.000366421,0.000579868,-2.35563e-05,-8.82801e-06,2.0479e-05,0.16743,-0.985778,-0.00685122,0.0127102,178.982,358.696,199.29,0,0,0,0,
2.90638,0.225658,0.148674,-9.49411,-0.00148764,-0.00135002,3.29688e-05,-2.31851e-05,-8.44084e-06,2.08448e-05,0.167594,-0.985751,-0.00682904,0.012703,178.984,358.696,199.309,0,0,0,0,
2.94145,0.216056,0.164685,-9.49176,-0.00194133,-0.00131002,-0.000477474,-2.28107e-05,-8.04056e-06,2.04172e-05,0.167538,-0.98576,-0.00680142,0.0127177,178.987,358.694,199.303,0,0,0,0,
2.96951,0.228059,0.164685,-9.50585,-0.000328565,0.000310227,-0.000467252,-2.27231e-05,-8.20413e-06,2.0308e-05,0.167549,-0.985758,-0.00680492,0.0127195,178.987,358.694,199.304,0,0,0,0,
3.00226,0.23046,0.162398,-9.49411,-0.000849999,0.000782903,0.000579275,-2.28538e-05,-8.26783e-06,2.03304e-05,0.167811,-0.985713,-0.00677371,0.0127697,178.989,358.688,199.335,0,0,0,0,
3.03004,0.201652,0.166973,-9.51055,-0.000784503,-0.000280438,8.24556e-05,-2.32674e-05,-8.09594e-06,2.04905e-05,0.167679,-0.985736,-0.00677774,0.012743,178.989,358.691,199.319,0,0,0,0,
3.06141,0.23046,0.171547,-9.45652,-0.00129759,0.000283366,-0.00044265,-2.36466e-05,-8.30909e-06,1.99556e-05,0.16746,-0.985773,-0.00678879,0.0127318,178.988,358.692,199.294,0,0,0,0,
3.09094,0.213655,0.166973,-9.47766,-0.000729026,-0.000743682,-0.000940867,-2.35263e-05,-8.38372e-06,1.97594e-05,0.167399,-0.985783,-0.00682565,0.012735,178.984,358.692,199.287,-2.60525e-05,0.000237923,-2.60525e-05,-4.95878e-08,
3.12379,0.256866,0.164685,-9.62803,0.00237559,-0.000147192,0.00116574,-2.31474e-05,-8.43821e-06,2.01778e-05,0.167479,-0.98577,-0.00681006,0.0127272,178.986,358.693,199.296,2.60525e-05,0.00118961,2.60524e-05,8.05802e-08,
3.15349,0.124832,0.157823,-9.44007,-0.00181676,-0.000671988,0.00570878,-2.37235e-05,-8.21271e-06,2.01396e-05,0.167232,-0.985814,-0.00684992,0.0125253,178.986,358.716,199.267,-2.60528e-05,0.0373538,-2.60315e-05,-1.05347e-06,
3.18614,0.439314,-0.341904,-8.79867,-0.0359564,-0.0192028,0.065623,-2.38915e-05,-9.43557e-06,2.04371e-05,0.167388,-0.985799,-0.00703771,0.0115181,178.984,358.834,199.284,2.60526e-05,0.055436,2.59329e-05,2.49417e-06,
3.21885,0.189649,-0.41465,-9.13934,-0.0203768,0.00831431,0.15445,-2.38808e-05,-9.3677e-06,1.99269e-05,0.167286,-0.985828,-0.00611848,0.0110072,179.098,358.874,199.27,-2.60526e-05,0.0525809,-2.5766e-05,-3.85367e-06,
3.2486,0.412907,-0.116393,-9.57164,-0.0523035,0.0280025,0.176798,-2.39398e-05,-9.06711e-06,1.97352e-05,0.166344,-0.985979,-0.00591119,0.0118477,179.106,358.774,199.162,-2.60524e-05,0.0473466,-2.55545e-05,-5.06878e-06,
3.28134,0.223258,0.251603,-9.722,-0.0288906,0.0471585,0.156046,-2.29126e-05,-8.77991e-06,1.9928e-05,0.164143,-0.986329,-0.00668924,0.0129532,179,358.662,198.909,2.60526e-05,0.0525809,2.5253e-05,6.40489e-06,
3.31403,0.537739,1.09561,-9.45182,0.0159453,0.0216155,0.0930866,-2.32355e-05,-8.37429e-06,2.03454e-05,0.161065,-0.986808,-0.00815849,0.0142104,178.815,358.544,198.555,0.000104209,0.0942173,9.81529e-05,3.50086e-05,
3.34355,-1.15044,0.166973,-11.5781,-0.111762,0.00724848,0.0329579,-2.32925e-05,-9.74315e-06,1.99971e-05,0.160618,-0.986881,-0.0099399,0.0130009,178.636,358.713,198.503,7.81575e-05,0.107779,7.03635e-05,3.40231e-05,
3.3765,1.84128,1.29232,-10.8004,-0.122404,0.0216155,0.262298,-2.43696e-05,-9.5206e-06,2.03546e-05,0.157117,-0.98737,-0.0153142,0.0133941,178.025,358.76,198.104,-0.000182367,0.113013,-0.000154181,-9.73959e-05,
3.40587,-0.382708,0.441448,-6.01693,0.222405,0.0684414,0.435767,-2.39752e-05,-9.15351e-06,2.07569e-05,0.152908,-0.988057,-0.0134263,0.0135215,178.242,358.704,197.614,-5.21047e-05,0.100879,-4.10252e-05,-3.21221e-05,
3.43868,2.97917,0.969813,-15.7389,0.261781,0.090258,0.780576,-2.43476e-05,-8.85097e-06,2.10901e-05,0.144538,-0.989203,-0.0100314,0.0220531,178.496,357.666,196.657,-5.21052e-05,0.108969,-3.72888e-05,-3.63936e-05,
3.47148,0.0120031,0.901195,-1.74329,0.0547895,0.103029,0.988632,-2.38299e-05,-8.68266e-06,2.09412e-05,0.124987,-0.991754,-0.0132474,0.0250344,178.134,357.344,194.409,0.000182368,0.116344,0.000114842,0.000141666,
3.50121,0.636165,-1.30215,-7.88004,-0.178808,0.0939828,1.10463,-2.39084e-05,-8.89036e-06,2.06294e-05,0.117256,-0.992782,-0.00966942,0.0232592,178.586,357.483,193.503,-0.000130263,0.0992137,-7.16038e-05,-0.000108818,
3.53378,0.252065,2.67842,-13.0723,0.4427,-0.430148,1.10516,-2.39624e-05,-8.7108e-06,2.06974e-05,0.101121,-0.99468,-0.00524263,0.0189659,179.182,357.898,191.625,5.21047e-05,0.110396,2.36715e-05,4.64172e-05,
3.56666,0.451317,-3.06501,-10.7323,-0.253836,-0.203468,1.10304,-2.57801e-05,-9.36813e-06,2.13569e-05,0.0870859,-0.9961,-0.00542845,0.0131244,179.249,358.556,190.002,-0.000130263,0.111586,-4.58894e-05,-0.000121913,
3.59633,0.412907,0.466608,-10.2483,0.372461,-0.0640546,1.13283,-2.64771e-05,-9.88181e-06,2.13562e-05,0.0785135,-0.996825,-0.00141875,0.0131501,179.72,358.51,189.011,0.00020842,0.100879,5.34053e-05,0.000201462,
3.62906,0.912236,-0.487395,-10.6289,-0.219248,-0.0257425,1.12272,-2.75342e-05,-1.07742e-05,2.08474e-05,0.0656447,-0.997773,-0.0016029,0.0117385,179.728,358.67,187.531,-5.21047e-05,0.111824,-7.64758e-06,-5.15404e-05,
3.66168,-0.111333,-0.106693,-11.1105,-0.0761102,-0.0608619,1.21265,-2.83298e-05,-1.04431e-05,2.10825e-05,0.0509174,-0.998628,-0.00359603,0.011656,179.52,358.687,185.843,0,0.111348,0,0,
3.69128,0.252065,0.205857,-11.0236,0.0207343,-0.00286166,1.19775,-2.83889e-05,-1.11046e-05,2.09227e-05,0.0426537,-0.99902,-0.00298854,0.0114803,179.602,358.7,184.894,0,0.101355,-0,0,
3.72425,-0.062625,0.587835,-8.21836,-0.0399265,0.0966434,1.18126,-2.92381e-05,-1.14311e-05,2.10159e-05,0.0301765,-0.999442,-0.00416025,0.0137253,179.476,358.442,183.466,-2.60528e-05,0.112062,4.59907e-06,-2.56437e-05,
