Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
2.58553,0.427311,0.0320221,-9.5223,-0.000269713,0.0014634,-0.000911206,-4.21272E-05,3.27963E-05,1.23733E-05,0.329894,0.943736,0.0095177,-0.0210423,179.766,357.364,141.47,0,0,0,0
2.61286,0.427311,0.0205857,-9.5129,0.000262419,0.000874434,0.000702564,-4.29529E-05,3.32814E-05,0.000012891,0.329792,0.943771,0.00948604,-0.021052,179.769,357.364,141.482,0,0,0,0
2.64344,0.410506,0.0297348,-9.5176,0.00028144,0.000342589,-0.000298906,-4.21177E-05,3.28745E-05,1.30926E-05,0.329701,0.943805,0.00942385,-0.0209997,179.774,357.372,141.493,0,0,0,0
2.66969,0.42491,0.0137238,-9.5035,-0.000770543,0.000313764,0.000753906,-4.24326E-05,3.25545E-05,1.36035E-05,0.329557,0.943856,0.00940308,-0.0209781,179.775,357.375,141.511,0,0,0,0
2.69725,0.448916,0.022873,-9.51525,-0.00126566,-0.000220465,0.000248771,-4.28906E-05,0.000032869,1.36819E-05,0.329373,0.94392,0.00938742,-0.0210034,179.777,357.373,141.533,0,0,0,0
2.72658,0.422509,0.0274475,-9.49176,-0.000186918,0.000252722,-0.00079485,-4.15121E-05,3.35314E-05,1.27866E-05,0.32961,0.943838,0.00936574,-0.0209875,179.78,357.375,141.504,0,0,0,0
2.75485,0.432112,0.0274475,-9.49646,-0.000709824,-0.000785379,0.000256553,-4.20471E-05,3.34964E-05,1.26702E-05,0.329799,0.943772,0.00935107,-0.0209685,179.781,357.378,141.481,0,0,0,0
2.78112,0.422509,0.0274475,-9.5411,-0.000676028,0.00181093,0.000256851,-4.18727E-05,3.32203E-05,1.23576E-05,0.329914,0.943732,0.00932884,-0.0209715,179.784,357.378,141.467,0,0,0,0
2.81064,0.417708,0.0365967,-9.5176,0.000397742,0.00120109,-0.00127,-4.19944E-05,3.27167E-05,1.28364E-05,0.329858,0.943752,0.00931131,-0.0209707,179.785,357.379,141.474,0,0,0,0
2.83695,0.42491,0.0274475,-9.51055,0.000378806,-0.000363914,-0.000220999,-4.18416E-05,0.000032198,1.29541E-05,0.329721,0.9438,0.00927261,-0.0209638,179.789,357.381,141.491,0,0,0,0
2.86305,0.412907,0.0205857,-9.48471,-0.000652786,0.000160191,-0.000222988,-4.17483E-05,3.18642E-05,1.27819E-05,0.329502,0.943877,0.00925556,-0.0209334,179.789,357.385,141.517,0,0,0,0
2.89057,0.432112,0.0251603,-9.5223,-0.000127442,-0.00037924,-0.000187345,-4.14075E-05,0.000032447,1.26847E-05,0.329458,0.943893,0.00924497,-0.0209293,179.79,357.386,141.523,0,0,0,0
2.92052,0.408106,0.0205857,-9.50585,-0.000143476,0.000153996,0.000369892,-4.18219E-05,3.25845E-05,0.000013252,0.329423,0.943906,0.00920608,-0.0209078,179.793,357.39,141.527,0,0,0,0
