Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
3.61973,0.259267,0.205857,-9.48706,-9.74387e-05,-0.000868969,0.000628307,-2.39517e-05,-8.78688e-06,2.14122e-05,0.1671,-0.985798,-0.0078867,0.0147781,178.826,358.481,199.257,0,0,0,0,
3.64907,0.26887,0.198995,-9.48001,-0.00064709,0.000193689,0.000583973,-2.39068e-05,-9.44568e-06,2.11812e-05,0.167661,-0.985702,-0.0078923,0.0147976,178.824,358.48,199.322,0,0,0,0,
3.67833,0.225658,0.185271,-9.5035,0.000409788,0.000703758,3.68804e-05,-2.42108e-05,-9.11918e-06,2.10268e-05,0.168001,-0.985644,-0.00790008,0.0147775,178.823,358.483,199.362,0,0,0,0,
3.70813,0.23286,0.196707,-9.49646,-0.000645196,0.000172347,0.000516634,-2.44842e-05,-9.54788e-06,2.12219e-05,0.168645,-0.985535,-0.00789422,0.0147623,178.823,358.485,199.436,0,0,0,0,
3.73697,0.247264,0.182984,-9.5035,-0.00109623,0.00120272,0.000529576,-2.40472e-05,-8.90929e-06,2.1067e-05,0.168888,-0.985493,-0.00787702,0.0147604,178.824,358.485,199.465,0,0,0,0,
3.76389,0.254466,0.205857,-9.5129,0.000970563,-0.000374874,0.000529386,-2.35203e-05,-9.02365e-06,2.07216e-05,0.169185,-0.985442,-0.00787702,0.0147679,178.824,358.485,199.499,0,0,0,0,
3.7952,0.259267,0.189846,-9.5223,-0.000123989,-0.00039757,-0.000534035,-2.30435e-05,-8.59261e-06,2.08499e-05,0.169602,-0.98537,-0.00787671,0.014786,178.823,358.483,199.548,0,0,0,0,
3.83397,0.237661,0.192133,-9.5035,-0.000105573,0.000128133,-1.83284e-06,-2.31252e-05,-8.29792e-06,2.08289e-05,0.169538,-0.985381,-0.007891,0.0147773,178.821,358.485,199.54,0,0,0,0,
3.88086,0.256866,0.178409,-9.53405,0.000399401,-0.000922056,-0.000545975,-2.3038e-05,-8.33836e-06,2.14605e-05,0.169092,-0.985459,-0.00786468,0.0147344,178.826,358.488,199.488,0,0,0,0,
3.92717,0.240062,0.192133,-9.48941,-0.000673121,-0.000368999,0.000541016,-2.32224e-05,-8.45806e-06,2.00823e-05,0.169076,-0.985462,-0.00787509,0.014695,178.826,358.493,199.486,0,0,0,0,
3.95407,0.259267,0.205857,-9.48471,-0.00117288,-0.000363944,0.00051526,-2.29761e-05,-8.20593e-06,2.03435e-05,0.168982,-0.985478,-0.00788732,0.0147053,178.824,358.492,199.476,0,0,0,0,
3.98405,0.249665,0.198995,-9.5317,0.000418309,0.000675894,-0.000584405,-2.29165e-05,-8.82932e-06,2.1153e-05,0.169625,-0.985368,-0.00784828,0.0147052,178.827,358.492,199.55,0,0,0,0,
4.01026,0.237661,0.182984,-9.52935,-0.000615163,0.000136936,0.00153309,-2.30544e-05,-8.71481e-06,2.07731e-05,0.169883,-0.985324,-0.00784287,0.0146869,178.828,358.494,199.58,0,0,0,0,
4.03814,0.276071,0.180696,-9.49646,-7.90972e-05,0.000649707,0.00045906,-2.31485e-05,-8.90506e-06,2.05276e-05,0.170203,-0.985268,-0.00783081,0.0147117,178.828,358.492,199.617,0,0,0,0,
4.06852,0.259267,0.19442,-9.5223,0.000458287,0.00116009,0.000958771,-2.28728e-05,-9.06215e-06,2.03226e-05,0.170902,-0.985147,-0.00781586,0.0147408,178.829,358.489,199.699,0,0,0,0,
4.09549,0.261668,0.198995,-9.48236,0.00096827,0.000103815,0.000900608,-2.32867e-05,-9.12952e-06,2.07282e-05,0.171323,-0.985073,-0.00781748,0.0147561,178.827,358.488,199.748,0,0,0,0,
4.1221,0.264068,0.192133,-9.48941,-0.000103898,9.88711e-05,0.000882752,-2.35352e-05,-8.6437e-06,2.124e-05,0.171388,-0.985062,-0.00781536,0.0147623,178.827,358.487,199.755,0,0,0,0,
4.14784,0.256866,0.208144,-9.49411,-8.64379e-05,0.000106677,0.000346463,-2.3447e-05,-8.85584e-06,2.13212e-05,0.17149,-0.985044,-0.00782952,0.0147664,178.826,358.487,199.767,0,0,0,0,
4.17778,0.240062,0.212719,-9.5176,-0.00109389,0.000643166,0.000915173,-2.34642e-05,-9.04197e-06,2.13896e-05,0.17181,-0.984988,-0.00787276,0.0147596,178.82,358.489,199.805,0,0,0,0,
4.20366,0.225658,0.192133,-9.5082,-0.000547547,9.32533e-05,-0.000141952,-2.39334e-05,-9.12434e-06,2.11579e-05,0.172004,-0.984954,-0.00789681,0.014747,178.818,358.491,199.827,0,0,0,0,
4.23027,0.26887,0.176122,-9.50115,-0.00057153,-0.000417963,0.000396609,-2.42324e-05,-8.91537e-06,2.07646e-05,0.172044,-0.984947,-0.0078653,0.0147638,178.821,358.489,199.832,0,0,0,0,
4.25921,0.264068,0.19442,-9.48941,-0.00106271,6.94599e-05,-0.000125337,-2.37709e-05,-8.71563e-06,2.07745e-05,0.171976,-0.984959,-0.00785495,0.0147445,178.822,358.49,199.824,0,0,0,0,
4.2859,0.23286,0.182984,-9.48001,0.000508226,-0.00042811,-0.000119369,-2.33376e-05,-8.63618e-06,2.05367e-05,0.171963,-0.984962,-0.00785125,0.0147366,178.823,358.491,199.822,0,0,0,0,
4.31173,0.261668,0.180696,-9.46356,-1.02352e-05,0.000593314,-0.00165905,-2.3849e-05,-9.12445e-06,2.11045e-05,0.172156,-0.984928,-0.00784216,0.0147565,178.823,358.489,199.845,0,0,0,0,
4.33843,0.220857,0.178409,-9.48706,0.00049703,-0.000461003,-0.000579011,-2.39265e-05,-9.43665e-06,2.07315e-05,0.172534,-0.984863,-0.00782405,0.01471,178.826,358.494,199.889,0,0,0,0,
4.3691,0.23286,0.185271,-9.49411,-4.4819e-05,-0.000416262,-4.32879e-05,-2.38966e-05,-9.13656e-06,2.05523e-05,0.172807,-0.984815,-0.0077987,0.0146793,178.829,358.498,199.92,0,0,0,0,
4.39639,0.264068,0.196707,-9.49881,-0.000561975,-0.000903221,-5.3741e-05,-2.34193e-05,-9.16725e-06,2.06395e-05,0.173111,-0.984762,-0.00780174,0.0146764,178.828,358.498,199.956,0,0,0,0,
4.42321,0.264068,0.208144,-9.51055,-0.0015738,0.00016585,-0.00108976,-2.36293e-05,-8.67156e-06,2.06884e-05,0.173097,-0.984764,-0.007834,0.0146769,178.824,358.499,199.954,0,0,0,0,
4.45222,0.264068,0.176122,-9.49881,-0.000461107,0.000660924,0.00102675,-2.31127e-05,-8.94008e-06,2.07403e-05,0.173333,-0.984722,-0.00781647,0.0146967,178.826,358.497,199.982,0,0,0,0,
4.47883,0.259267,0.182984,-9.49411,-0.000489205,-0.000371585,-0.000554979,-2.36862e-05,-8.26665e-06,2.09968e-05,0.17305,-0.984772,-0.00781994,0.0146976,178.826,358.496,199.949,0,0,0,0,
4.50503,0.249665,0.187558,-9.52465,0.000560157,0.000140371,-0.000528555,-2.35378e-05,-8.35099e-06,2.11679e-05,0.172719,-0.98483,-0.00781856,0.0147033,178.826,358.495,199.91,0,0,0,0,
4.53124,0.244863,0.189846,-9.49881,-0.00101187,0.000146201,0.000522681,-2.34579e-05,-8.67222e-06,2.07803e-05,0.172621,-0.984847,-0.00782451,0.0147071,178.826,358.495,199.899,0,0,0,0,
4.5623,0.244863,0.198995,-9.49881,2.36332e-05,0.000667386,-0.000454184,-2.31303e-05,-9.04005e-06,2.02731e-05,0.173029,-0.984776,-0.00781164,0.0147245,178.826,358.493,199.946,0,0,0,0,
