Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
2.9397,0.324084,0.21958,-9.49176,-0.000164308,4.11589e-05,-0.000522535,-2.30718e-05,-7.77172e-06,1.93819e-05,0.168776,-0.98547,-0.00795074,0.0173252,178.766,358.197,199.456,0,0,0,0,
2.96901,0.278472,0.201282,-9.48001,-0.000663264,6.42259e-05,-0.000510171,-2.31458e-05,-8.29591e-06,2.03794e-05,0.168611,-0.985499,-0.00797917,0.017298,178.764,358.2,199.437,0,0,0,0,
3.00012,0.302478,0.203569,-9.5082,0.00142376,0.00055396,0.000527173,-2.28672e-05,-8.48739e-06,2.01611e-05,0.168806,-0.985465,-0.00797216,0.0173195,178.764,358.198,199.46,0,0,0,0,
3.02837,0.300078,0.212719,-9.527,0.000886736,0.000552611,-0.000511482,-2.32806e-05,-8.23831e-06,2.01348e-05,0.168733,-0.985477,-0.00797279,0.0173417,178.764,358.195,199.451,0,0,0,0,
3.05886,0.295276,0.217293,-9.50115,-0.000201901,0.000451958,-0.000462878,-2.36409e-05,-8.37694e-06,2.04442e-05,0.168538,-0.98551,-0.0079633,0.017346,178.765,358.195,199.429,0,0,0,0,
3.08495,0.300078,0.201282,-9.51055,0.000314489,-0.000101365,2.84016e-05,-2.37862e-05,-8.43302e-06,2.00662e-05,0.168404,-0.985533,-0.00796207,0.0173408,178.765,358.195,199.413,0,0,0,0,
3.11278,0.292876,0.203569,-9.47296,0.000299517,0.000460291,0.000533827,-2.36261e-05,-8.72844e-06,1.95804e-05,0.168482,-0.985521,-0.00796403,0.0173048,178.766,358.199,199.422,0,0,0,0,
3.14403,0.283273,0.205857,-9.5129,-0.000191759,-0.000573531,-0.000504885,-2.35722e-05,-9.15161e-06,1.98261e-05,0.168891,-0.985451,-0.00800776,0.0172678,178.761,358.205,199.47,0,0,0,0,
3.17081,0.280873,0.192133,-9.49646,0.000855953,-0.0015848,0.00212812,-2.37213e-05,-8.39801e-06,2.01702e-05,0.168884,-0.985453,-0.00798607,0.0172365,178.764,358.208,199.469,0,0,0,0,
3.20145,0.290475,0.212719,-9.48001,0.000807768,-0.000471637,-1.28187e-05,-2.38665e-05,-8.45871e-06,2.04623e-05,0.168668,-0.985489,-0.00798876,0.0172648,178.763,358.204,199.444,0,0,0,0,
3.22886,0.316882,0.212719,-9.48001,-0.000281788,0.0011212,-2.4721e-05,-2.36695e-05,-9.00284e-06,2.05737e-05,0.168883,-0.985452,-0.00799236,0.0172969,178.762,358.201,199.469,0,0,0,0,
3.25551,0.314481,0.205857,-9.46591,-0.00183875,-0.000477539,-0.00208819,-2.3533e-05,-9.08569e-06,2.08948e-05,0.169297,-0.985381,-0.00799023,0.0173146,178.761,358.2,199.517,0,0,0,0,
3.28503,0.302478,0.221868,-9.51525,0.000343427,6.29351e-05,0.000568315,-2.3253e-05,-9.32547e-06,2.09282e-05,0.169991,-0.98526,-0.00801772,0.0173465,178.756,358.197,199.598,0,0,0,0,
3.31289,0.292876,0.208144,-9.47296,-0.000167189,-0.000471866,0.00108558,-2.35287e-05,-9.03636e-06,2.08708e-05,0.170386,-0.985192,-0.00801313,0.0173392,178.756,358.199,199.644,0,0,0,0,
3.34077,0.307279,0.215006,-9.49176,-0.000159228,-0.000461912,0.00052711,-2.34391e-05,-8.3221e-06,2.03498e-05,0.17029,-0.985209,-0.00802692,0.0173445,178.755,358.198,199.633,0,0,0,0,
3.37056,0.290475,0.205857,-9.5035,0.000927525,0.00059705,-4.64916e-06,-2.30216e-05,-8.76367e-06,2.02316e-05,0.170501,-0.985172,-0.00801772,0.0173345,178.755,358.199,199.657,0,0,0,0,
3.39833,0.316882,0.203569,-9.5082,0.000895876,0.000568623,8.08388e-06,-2.36606e-05,-9.21163e-06,2.0167e-05,0.170894,-0.985104,-0.00799193,0.0173669,178.757,358.196,199.703,0,0,0,0,
3.42667,0.297677,0.189846,-9.527,0.000894625,0.000541013,1.97254e-05,-2.34895e-05,-8.93574e-06,1.99347e-05,0.171484,-0.985002,-0.00793033,0.0173833,178.763,358.193,199.771,0,0,0,0,
